id_pagamento,id_contrato,numero_parcela,data_vencimento,data_pagamento,valor_parcela,valor_pago,forma_pagamento,indicador_contemplado,dias_atraso,pagamento_em_dia,percentual_pago,nome_assessoria,data_envio_assessoria,dias_em_atraso_inicial,valor_inadimplente_inicial,status_cobranca,score_interno_risco,regiao_cliente
PAG_0000031,CONTR_2026_02735,50,2025-06-26,2025-06-25,450,450.0,Pix,Sim,-1.0,True,1.0,fênix recuperação de crédito,2026-01-09,111,8973.52,Em Aberto,36.0,Sudeste
PAG_0000032,CONTR_2026_03006,46,2026-03-14,2026-06-14,1500,1575.54,Pix,Não,92.0,False,1.05036,Acerta Crédito Integrado,2026-04-23,75,7506.13,Ajuizado,2.0,Centro-Oeste
PAG_0000033,CONTR_2026_04659,4,2025-09-15,,600,0.0,Boleto,Sim,0.0,True,0.0,Fênix Recuperação de Crédito,2026-01-29,67,6266.03,Ajuizado,97.0,Norte
PAG_0000034,CONTR_2026_01900,7,2025-02-22,2025-04-07,600,620.71,Boleto,Não,44.0,False,1.0345166666666668,Acerta Crédito Integrado,2026-02-27,123,742326.0,Acordo Firmado,90.0,Nordeste
PAG_0000035,CONTR_2026_07735,54,2025-06-01,,850,0.0,Boleto,Não,0.0,True,0.0,Fênix Recuperação de Crédito,2026-01-17,132,19951.03,Em Aberto,25.0,Nordeste
PAG_0000036,CONTR_2026_01268,51,2025-07-08,2025-08-01,1200,1233.5,Boleto,Não,24.0,False,1.0279166666666666,Vértice Asset & Cobrança,2026-02-12,51,1540.52,Insucesso,62.0,Sudeste
PAG_0000037,CONTR_2026_01529,20,2025-10-18,,450,0.0,Boleto,Não,0.0,True,0.0,Acerta Crédito Integrado,2026-02-04,81,10098.14,Insucesso,51.0,Nordeste
PAG_0000038,CONTR_2026_03557,28,2025-07-25,,850,0.0,Pix,Não,0.0,True,0.0,Vértice Asset & Cobrança,2026-04-01,64,793016.0,Em Aberto,58.0,Sudeste
PAG_0000039,CONTR_2026_03891,7,2025-01-24,2025-01-20,450,450.0,Pix,Não,-4.0,True,1.0,Acerta Crédito Integrado,2026-04-23,102,9428.52,Acordo Firmado,40.0,Sudeste
PAG_0000040,CONTR_2026_08839,11,2026-03-25,,600,0.0,Pix,Não,0.0,True,0.0,fênix recuperação de crédito,2026-04-06,65,3393.39,Acordo Firmado,27.0,Sudeste
PAG_0000041,CONTR_2026_05394,49,2025-07-12,2025-07-10,1500,1500.0,Débito Automático,Não,-2.0,True,1.0,Nexus Mediação Financeira,2026-03-02,101,16796.0,Acordo Firmado,4.0,Nordeste
PAG_0000042,CONTR_2026_08793,14,2025-06-05,2025-05-31,1200,1200.0,Boleto,Sim,-5.0,True,1.0,Fênix Recuperação de Crédito,2026-02-14,68,6029.66,Em Aberto,77.0,Nordeste
PAG_0000043,CONTR_2026_08434,8,2025-05-12,2025-05-09,600,600.0,Boleto,Não,-3.0,True,1.0,Acerta Crédito Integrado,2026-04-11,119,7539.77,Em Aberto,81.0,Sudeste
PAG_0000044,CONTR_2026_07514,24,2025-06-01,2025-06-17,450,461.38,Boleto,Não,16.0,False,1.025288888888889,Fênix Recuperação de Crédito,2026-03-08,97,5876.08,Em Aberto,36.0,Nordeste
PAG_0000045,CONTR_2026_02613,51,2025-09-28,2025-09-26,850,850.0,Boleto,Sim,-2.0,True,1.0,Fênix Recuperação de Crédito,2026-03-30,118,4393.13,Em Aberto,47.0,Nordeste
PAG_0000046,CONTR_2026_07042,54,2025-10-07,2025-10-04,600,600.0,Pix,Não,-3.0,True,1.0,Vértice Asset & Cobrança,2026-01-13,119,12358.98,Ajuizado,66.0,Sul
PAG_0000047,CONTR_2026_09556,31,2025-11-04,2025-11-27,450,462.42,Débito Automático,Sim,23.0,False,1.0276,Acerta Crédito Integrado,2026-01-18,51,3921.74,Ajuizado,66.0,Nordeste
PAG_0000048,CONTR_2026_06236,59,2026-03-25,,450,0.0,Pix,Sim,0.0,True,0.0,Acerta Crédito Integrado,2026-03-03,92,358455.0,Acordo Firmado,99.0,Nordeste
PAG_0000049,CONTR_2026_05487,2,2025-02-28,2025-02-27,450,450.0,Pix,Não,-1.0,True,1.0,Fênix Recuperação de Crédito,2026-03-30,89,5516.96,Em Aberto,82.0,Nordeste
PAG_0000050,CONTR_2026_07100,8,2025-10-14,2025-10-09,600,600.0,Boleto,Não,-5.0,True,1.0,Acerta Crédito Integrado,2026-01-12,60,7379.73,Acordo Firmado,4.0,Sudeste
PAG_0000051,CONTR_2026_09671,27,2025-11-23,2025-11-21,850,850.0,Boleto,Não,-2.0,True,1.0,Vértice Asset & Cobrança,2026-03-02,75,4760.99,Acordo Firmado,14.0,Nordeste
PAG_0000052,CONTR_2026_00776,43,2025-05-19,,600,0.0,Pix,Não,0.0,True,0.0,Fênix Recuperação de Crédito,2026-04-26,81,7103.37,Em Aberto,73.0,Nordeste
PAG_0000053,CONTR_2026_08227,24,2026-01-24,2026-01-22,450,450.0,Boleto,Não,-2.0,True,1.0,Vértice Asset & Cobrança,2026-01-20,80,16737.68,Acordo Firmado,91.0,Sudeste
PAG_0000054,CONTR_2026_03153,51,2025-06-07,2025-06-07,600,600.0,Boleto,Não,0.0,True,1.0,Acerta Crédito Integrado,2026-01-14,132,12628.59,Ajuizado,30.0,Sul
PAG_0000055,CONTR_2026_01586,6,2025-02-17,2025-02-15,450,450.0,Boleto,Não,-2.0,True,1.0,Fênix Recuperação de Crédito,2026-04-23,137,33183.39,Em Aberto,50.0,Sul
PAG_0000056,CONTR_2026_03944,11,2025-12-30,2026-04-01,450,472.66,Boleto,Sim,92.0,False,1.0503555555555557,Vértice Asset & Cobrança,2026-04-16,77,1632.88,Acordo Firmado,40.0,Sudeste
PAG_0000057,CONTR_2026_07556,49,2026-03-16,,850,0.0,Débito Automático,Sim,0.0,True,0.0,Vértice Asset & Cobrança,2026-03-29,116,64234.0,Acordo Firmado,90.0,Norte
PAG_0000058,CONTR_2026_03074,16,2025-06-19,2025-06-19,450,450.0,Boleto,Sim,0.0,True,1.0,Vértice Asset & Cobrança,2026-03-21,54,5474.93,Insucesso,79.0,Nordeste
PAG_0000059,CONTR_2026_01022,52,2025-04-11,2025-04-11,450,450.0,Boleto,Não,0.0,True,1.0,Vértice Asset & Cobrança,2026-04-22,120,6400.35,Acordo Firmado,23.0,Centro-Oeste
PAG_0000060,CONTR_2026_03844,29,2026-01-30,2026-01-30,600,600.0,Pix,Não,0.0,True,1.0,Vértice Asset & Cobrança,2026-02-01,96,7752.73,Em Aberto,60.0,Norte
PAG_0000061,CONTR_2026_07990,41,2025-10-17,2026-02-12,1200,1270.73,Pix,Sim,118.0,False,1.0589416666666667,Acerta Crédito Integrado,2026-01-10,72,3514.76,Em Aberto,70.0,Nordeste
PAG_0000062,CONTR_2026_09693,30,2025-06-25,2025-06-22,600,600.0,Pix,Sim,-3.0,True,1.0,Vértice Asset & Cobrança,2026-04-23,64,2929.51,Insucesso,48.0,Nordeste
PAG_0000063,CONTR_2026_06874,45,2026-02-20,2026-02-15,450,450.0,Pix,Não,-5.0,True,1.0,Vértice Asset & Cobrança,2026-03-14,105,8173.51,Ajuizado,68.0,Nordeste
PAG_0000064,CONTR_2026_05676,7,2025-01-23,2025-01-19,450,450.0,Pix,Não,-4.0,True,1.0,Fênix Recuperação de Crédito,2026-02-01,54,7336.2,Ajuizado,3.0,Sudeste
PAG_0000065,CONTR_2026_00162,16,2025-10-25,,600,0.0,Pix,Não,0.0,True,0.0,Nexus Mediação Financeira,2026-01-18,116,19984.53,Em Aberto,51.0,Nordeste
PAG_0000066,CONTR_2026_04298,36,2025-11-13,,1200,0.0,Débito Automático,Não,0.0,True,0.0,Fênix Recuperação de Crédito,2026-03-14,98,4445.36,Em Aberto,85.0,Sudeste
PAG_0000067,CONTR_2026_00996,31,2025-01-02,2025-01-01,450,450.0,Boleto,Sim,-1.0,True,1.0,Fênix Recuperação de Crédito,2026-01-30,82,1359.38,Insucesso,65.0,Sudeste
PAG_0000068,CONTR_2026_07630,11,2025-06-22,,450,0.0,Boleto,Não,0.0,True,0.0,Acerta Crédito Integrado,2026-02-25,60,12002.58,Acordo Firmado,47.0,Nordeste
PAG_0000069,CONTR_2026_09468,19,2026-03-10,,850,0.0,Pix,Sim,0.0,True,0.0,fênix recuperação de crédito,2026-04-09,112,1872.7,Em Aberto,64.0,Sudeste
PAG_0000070,CONTR_2026_01017,14,2026-01-28,2026-01-24,1200,1200.0,Boleto,Não,-4.0,True,1.0,Fênix Recuperação de Crédito,2026-02-06,103,10274.39,Insucesso,51.0,Sul
PAG_0000071,CONTR_2026_07870,58,2025-06-13,2025-07-15,1500,1545.84,Boleto,Não,32.0,False,1.03056,Fênix Recuperação de Crédito,2026-04-12,75,18637.22,Acordo Firmado,43.0,Sul
PAG_0000072,CONTR_2026_06440,15,2025-05-26,2025-06-10,450,461.23,Débito Automático,Não,15.0,False,1.0249555555555556,Nexus Mediação Financeira,2026-04-24,50,8836.09,Em Aberto,48.0,Sul
PAG_0000073,CONTR_2026_07893,8,2025-08-29,2025-09-05,450,460.04,Boleto,Sim,7.0,False,1.0223111111111112,Acerta Crédito Integrado,2026-02-12,46,12129.26,Acordo Firmado,68.0,Nordeste
PAG_0000074,CONTR_2026_06864,12,2025-07-23,,450,0.0,Boleto,Não,0.0,True,0.0,Fênix Recuperação de Crédito,2026-03-19,76,2224.67,Insucesso,78.0,Nordeste
PAG_0000075,CONTR_2026_07917,43,2026-03-24,2026-03-21,850,850.0,Pix,Sim,-3.0,True,1.0,Nexus Mediação Financeira,2026-01-13,101,7819.74,Acordo Firmado,3.0,Sudeste
PAG_0000076,CONTR_2026_08530,24,2025-03-06,,450,0.0,Boleto,Não,0.0,True,0.0,Nexus Mediação Financeira,2026-03-06,71,7612.99,Em Aberto,58.0,Nordeste
PAG_0000077,CONTR_2026_00879,38,2025-11-12,2025-12-03,450,462.12,Pix,Não,21.0,False,1.0269333333333333,Fênix Recuperação de Crédito,2026-04-21,15,4057.19,Acordo Firmado,69.0,Nordeste
PAG_0000078,CONTR_2026_09269,55,2025-10-17,,450,0.0,Débito Automático,Sim,0.0,True,0.0,Fênix Recuperação de Crédito,2026-04-04,117,1585.62,Em Aberto,46.0,Sudeste
PAG_0000079,CONTR_2026_04888,13,2025-07-15,2025-07-15,450,450.0,Pix,Não,0.0,True,1.0,Nexus Mediação Financeira,2026-01-26,47,12689.26,Acordo Firmado,21.0,Nordeste
PAG_0000080,CONTR_2026_04860,18,2025-06-01,2025-06-01,600,600.0,Boleto,Não,0.0,True,1.0,Acerta Crédito Integrado,2026-01-19,95,3343.6,Insucesso,10.0,Nordeste
PAG_0000081,CONTR_2026_06332,35,2025-10-15,2025-10-14,600,600.0,Débito Automático,Não,-1.0,True,1.0,Acerta Crédito Integrado,2026-01-24,75,8015.8,Insucesso,41.0,Sudeste
PAG_0000082,CONTR_2026_08572,29,2026-01-02,2026-02-09,600,619.52,Débito Automático,Sim,38.0,False,1.0325333333333333,Vértice Asset & Cobrança,2026-01-24,78,82435.0,Ajuizado,31.0,Nordeste
PAG_0000083,CONTR_2026_08685,20,2025-04-11,2025-04-07,600,600.0,Pix,Não,-4.0,True,1.0,Vértice Asset & Cobrança,2026-03-21,133,22133.0,Acordo Firmado,25.0,Sudeste
PAG_0000084,CONTR_2026_07209,54,2025-10-11,,450,0.0,Boleto,Sim,0.0,True,0.0,Vértice Asset & Cobrança,2026-02-02,106,1754.41,Acordo Firmado,51.0,Sudeste
PAG_0000085,CONTR_2026_05277,34,2025-07-21,2025-07-18,600,600.0,Débito Automático,Não,-3.0,True,1.0,Fênix Recuperação de Crédito,2026-02-27,72,11112.56,Acordo Firmado,31.0,Sul
PAG_0000086,CONTR_2026_02063,3,2025-07-08,2025-07-08,450,450.0,Boleto,Não,0.0,True,1.0,Acerta Crédito Integrado,2026-03-03,61,3885.51,Em Aberto,39.0,Nordeste
PAG_0000087,CONTR_2026_00065,40,2025-01-23,2025-01-25,1200,1224.79,Pix,Não,2.0,False,1.0206583333333332,Vértice Asset & Cobrança,2026-03-24,79,6366.57,Em Aberto,55.0,Sudeste
PAG_0000088,CONTR_2026_08007,35,2025-06-16,,850,0.0,Boleto,Sim,0.0,True,0.0,Acerta Crédito Integrado,2026-04-30,117,6020.2,Em Aberto,3.0,Sudeste
PAG_0000089,CONTR_2026_02569,42,2025-04-12,2025-04-07,600,600.0,Boleto,Não,-5.0,True,1.0,Acerta Crédito Integrado,2026-04-09,159,1557.39,Insucesso,87.0,Nordeste
PAG_0000090,CONTR_2026_05464,31,2025-12-14,2025-12-13,450,450.0,Pix,Sim,-1.0,True,1.0,Vértice Asset & Cobrança,2026-03-20,95,426574.0,Ajuizado,97.0,Sudeste
PAG_0000091,CONTR_2026_02028,56,2025-10-24,2026-02-12,850,898.14,Boleto,Sim,111.0,False,1.0566352941176471,Vértice Asset & Cobrança ,2026-04-18,68,1487.22,Acordo Firmado,63.0,Sul
PAG_0000092,CONTR_2026_02696,7,2025-08-25,2025-08-24,850,850.0,Pix,Não,-1.0,True,1.0,Nexus Mediação Financeira,2026-03-23,78,9786.37,Em Aberto,31.0,Sudeste
PAG_0000093,CONTR_2026_09688,9,2025-05-09,2025-08-19,850,895.61,Débito Automático,Não,102.0,False,1.0536588235294118,Vértice Asset & Cobrança,2026-02-06,80,6123.16,Ajuizado,23.0,Sudeste
PAG_0000094,CONTR_2026_05259,54,2025-06-13,2025-06-10,1200,1200.0,Débito Automático,Não,-3.0,True,1.0,Vértice Asset & Cobrança,2026-04-19,73,6007.76,Em Aberto,57.0,Nordeste
PAG_0000095,CONTR_2026_05619,53,2025-06-07,2025-06-07,600,600.0,Boleto,Não,0.0,True,1.0,Nexus Mediação Financeira,2026-02-03,104,9525.97,Acordo Firmado,98.0,Sudeste
PAG_0000096,CONTR_2026_06737,50,2025-04-02,,450,0.0,Débito Automático,Não,0.0,True,0.0,fênix recuperação de crédito,2026-04-08,86,8048.95,Acordo Firmado,51.0,Nordeste
PAG_0000097,CONTR_2026_00392,59,2025-05-23,2025-05-22,450,450.0,Boleto,Não,-1.0,True,1.0,Vértice Asset & Cobrança,2026-03-29,114,5306.69,Em Aberto,18.0,Centro-Oeste
PAG_0000098,CONTR_2026_05893,48,2025-08-28,2025-08-27,450,450.0,Boleto,Não,-1.0,True,1.0,Vértice Asset & Cobrança,2026-01-23,82,13100.52,Em Aberto,92.0,Sul
PAG_0000099,CONTR_2026_03562,17,2025-04-03,2025-04-03,850,850.0,Boleto,Não,0.0,True,1.0,Acerta Crédito Integrado,2026-03-05,108,1862.0,Em Aberto,74.0,Sudeste
PAG_0000100,CONTR_2026_06185,52,2025-02-08,2025-02-07,1200,1200.0,Débito Automático,Sim,-1.0,True,1.0,Fênix Recuperação de Crédito,2026-02-17,9999,7944.19,Em Aberto,100.0,Nordeste
PAG_0000101,CONTR_2026_03100,7,2025-12-25,2025-12-25,600,600.0,Boleto,Não,0.0,True,1.0,Vértice Asset & Cobrança,2026-04-13,146,4655.08,Em Aberto,92.0,Sudeste
PAG_0000102,CONTR_2026_06279,51,2026-02-09,,450,0.0,Boleto,Sim,0.0,True,0.0,Acerta Crédito Integrado,2026-02-10,142,6198.69,Acordo Firmado,72.0,Nordeste
PAG_0000103,CONTR_2026_08393,5,2025-06-10,2025-06-21,850,870.09,Pix,Não,11.0,False,1.0236352941176472,Vértice Asset & Cobrança ,2026-03-26,59,17403.37,Em Aberto,74.0,Sudeste
PAG_0000104,CONTR_2026_03105,24,2025-03-22,2025-03-24,850,867.56,Boleto,Não,2.0,False,1.0206588235294116,Vértice Asset & Cobrança,2026-02-26,115,3477.15,Em Aberto,13.0,Nordeste
PAG_0000105,CONTR_2026_07216,15,2025-08-22,,600,0.0,Boleto,Não,0.0,True,0.0,Nexus Mediação Financeira,2026-03-06,133,3267.8,Acordo Firmado,73.0,Sul
PAG_0000106,CONTR_2026_02455,2,2026-01-14,2026-01-13,600,600.0,Boleto,Não,-1.0,True,1.0,Nexus Mediação Financeira,2026-04-16,83,10638.19,Acordo Firmado,96.0,Sul
PAG_0000107,CONTR_2026_08997,57,2025-01-27,,450,0.0,Pix,Sim,0.0,True,0.0,Fênix Recuperação de Crédito,2026-01-02,77,4572.78,Insucesso,23.0,Sudeste
PAG_0000108,CONTR_2026_02732,15,2025-01-25,2025-01-22,450,450.0,Boleto,Não,-3.0,True,1.0,Vértice Asset & Cobrança,2026-02-01,53,18962.66,Acordo Firmado,77.0,Nordeste
PAG_0000109,CONTR_2026_08155,21,2025-10-31,2025-10-26,850,850.0,Pix,Não,-5.0,True,1.0,Acerta Crédito Integrado,2026-03-31,107,5211.85,Acordo Firmado,49.0,Nordeste
PAG_0000110,CONTR_2026_09763,37,2025-02-14,2025-03-28,450,465.24,Pix,Não,42.0,False,1.0338666666666667,Vértice Asset & Cobrança ,2026-01-21,86,813435.0,Acordo Firmado,78.0,Sudeste
PAG_0000111,CONTR_2026_05057,14,2025-02-01,2025-01-31,450,450.0,Pix,Não,-1.0,True,1.0,Vértice Asset & Cobrança,2026-01-15,74,15344.41,Em Aberto,98.0,Sul
PAG_0000112,CONTR_2026_08111,51,2025-04-16,2025-04-18,450,459.3,Débito Automático,Não,2.0,False,1.0206666666666666,Vértice Asset & Cobrança,2026-03-28,108,8003.36,Insucesso,15.0,Sudeste
PAG_0000113,CONTR_2026_03841,2,2025-07-04,2025-06-30,1500,1500.0,Pix,Não,-4.0,True,1.0,Nexus Mediação Financeira,2026-03-07,102,10507.82,Acordo Firmado,99.0,Sudeste
PAG_0000114,CONTR_2026_01029,25,2025-12-01,2025-12-01,1200,1200.0,Pix,Não,0.0,True,1.0,Vértice Asset & Cobrança,2026-01-03,86,9291.06,Em Aberto,49.0,Nordeste
PAG_0000115,CONTR_2026_07386,27,2025-04-21,2025-04-19,1500,1500.0,Débito Automático,Não,-2.0,True,1.0,Vértice Asset & Cobrança,2026-01-31,65,18314.95,Em Aberto,41.0,Centro-Oeste
PAG_0000116,CONTR_2026_00503,52,2026-01-21,2026-01-18,1500,1500.0,Pix,Não,-3.0,True,1.0,Vértice Asset & Cobrança,2026-04-11,55,2116.73,Em Aberto,32.0,Nordeste
PAG_0000117,CONTR_2026_06911,53,2026-01-30,,450,0.0,Pix,Não,0.0,True,0.0,Vértice Asset & Cobrança,2026-01-17,120,6489.17,Em Aberto,60.0,Norte
PAG_0000118,CONTR_2026_09063,51,2025-03-08,2025-03-07,450,450.0,Pix,Não,-1.0,True,1.0,Acerta Crédito Integrado,2026-01-28,106,3664.49,Em Aberto,12.0,Nordeste
PAG_0000119,CONTR_2026_06939,38,2025-03-22,2025-03-21,850,850.0,Pix,Não,-1.0,True,1.0,Vértice Asset & Cobrança,2026-04-21,110,5405.13,Acordo Firmado,68.0,Sudeste
PAG_0000120,CONTR_2026_04489,53,2025-06-02,,1200,0.0,Débito Automático,Sim,0.0,True,0.0,Acerta Crédito Integrado,2026-04-16,62,3600.36,Em Aberto,95.0,Nordeste
PAG_0000121,CONTR_2026_00207,19,2025-11-08,2025-12-06,850,874.85,Débito Automático,Sim,28.0,False,1.029235294117647,Fênix Recuperação de Crédito,2026-03-22,88,4665.46,Em Aberto,26.0,Sudeste
PAG_0000122,CONTR_2026_05135,42,2026-03-02,,850,0.0,Débito Automático,Sim,0.0,True,0.0,Vértice Asset & Cobrança ,2026-03-08,71,8186.84,Em Aberto,87.0,Centro-Oeste
PAG_0000123,CONTR_2026_05978,48,2025-01-25,2025-01-23,1200,1200.0,Pix,Sim,-2.0,True,1.0,Fênix Recuperação de Crédito,2026-02-04,53,16320.06,Acordo Firmado,93.0,Nordeste
PAG_0000124,CONTR_2026_07722,30,2025-06-13,2025-06-13,450,450.0,Boleto,Não,0.0,True,1.0,fênix recuperação de crédito,2026-01-03,116,2968.28,Insucesso,2.0,Sudeste
PAG_0000125,CONTR_2026_07036,49,2025-07-26,,1200,0.0,Pix,Não,0.0,True,0.0,Acerta Crédito Integrado,2026-02-12,99,3269.51,Insucesso,62.0,Nordeste
PAG_0000126,CONTR_2026_01485,10,2025-11-08,2025-11-06,450,450.0,Boleto,Não,-2.0,True,1.0,Vértice Asset & Cobrança,2026-01-29,86,5965.33,Insucesso,63.0,Sul
PAG_0000127,CONTR_2026_07859,31,2025-04-25,2025-04-25,600,600.0,Boleto,Sim,0.0,True,1.0,Fênix Recuperação de Crédito,2026-03-30,96,2919.87,Acordo Firmado,75.0,Nordeste
PAG_0000128,CONTR_2026_00864,13,2025-06-19,2025-06-18,600,600.0,Pix,Não,-1.0,True,1.0,Vértice Asset & Cobrança,2026-04-19,77,12974.01,Acordo Firmado,62.0,Sudeste
PAG_0000129,CONTR_2026_02791,13,2025-03-28,,600,0.0,Boleto,Não,0.0,True,0.0,Acerta Crédito Integrado,2026-04-27,98,1262.57,Em Aberto,70.0,Sul
PAG_0000130,CONTR_2026_07409,27,2025-03-30,2025-04-11,1500,1535.94,Débito Automático,Não,12.0,False,1.02396,Fênix Recuperação de Crédito,2026-03-23,142,8655.9,Em Aberto,59.0,Sul
